Hub,Servicing Site,REMS Proerty ID,Property Name,Project Street Address 1,Project City Address,Project State,Project Zip Code,Project Zip Code Plus 4,Project Occupancy Date,Project FHA Number,SOA Numeric Name,SOA Description,Project Number of Units,Project Number of Assisted Units,Initial Endorsement Date,Final Endorsement Date,Loan Maturity Date,Original Mortgage Amount,Original Interest Rate,Amortized Unpaid Principal Balance,Owner Organization Name
Denver,Denver,800017903,GOOD SHEPHERD II,5717 NE Simpson St,Portland,OR,97218,2357,11-Jan-89,126EH095,202,202/8 Direct Loan/ Elderly-Handicapped,5,5,28-Sep-88,14-Jul-93,01-Feb-29,"$147,800.00",9,"$48,702.74","Oregon Good Shepherd Lutheran Home, Inc."
Denver,Denver,800023749,Churchill Commons,1900 CHURCHILL ST,ROCK SPRINGS,WY,82901,,05-Apr-88,109EH024,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,11-Sep-87,27-Jan-89,01-Jun-28,"$763,700.00",9.25,"$220,258.37",Churchill Commons Housing Corporation
Detroit,Detroit,800009932,BISHOP COOPERATIVE APARTMENTS,2651 BIDDLE AVE,WYANDOTTE,MI,48192,5235,01-Jul-69,044SH032,202,202 Direct Loan/ Elderly/ Pre - 1974,196,40,11-Sep-87,27-Jan-89,01-Feb-43,"$1,442,555.13",1,"$789,999.57",Bishop CSI Non-Profit Housing Corporation
Detroit,Detroit,800009932,BISHOP COOPERATIVE APARTMENTS,2651 BIDDLE AVE,WYANDOTTE,MI,48192,5235,01-Jul-69,044SH032,202,202 Direct Loan/ Elderly/ Pre - 1974,196,40,11-Sep-87,27-Jan-89,01-Feb-43,"$1,442,555.13",1,"$789,999.57",Bishop CSI Non-Profit Housing Corporation
Detroit,Detroit,800017286,SOUTHSIDE MANOR,300 OBETZ RD,COLUMBUS,OH,43207,6012,13-Sep-91,043HH004,202,202/162 Direct Loan for Handicapped w/PAC,23,23,28-Sep-90,20-Nov-91,01-Oct-31,"$974,700.00",8.375,"$443,185.59","NBC-USA Housing, Inc., 14"
Detroit,Detroit,800010348,MILL POND MANOR (SALINE),460 RUSSELL ST,SALINE,MI,48176,1182,23-Aug-90,044EH197,202,202/8 Direct Loan/ Elderly-Handicapped,48,47,06-Sep-89,22-Dec-93,01-Nov-30,"$2,048,500.00",8.625,"$852,330.96",SALINE COMMUNITY DIRECTIONS INC. Nonprofit Housing Corporation
Detroit,Detroit,800016891,MAPLEWOOD MANOR,1131 VERONA AVE,YOUNGSTOWN,OH,44506,1072,01-Dec-90,042EH358,202,202/8 Direct Loan/ Elderly-Handicapped,19,19,16-Feb-90,03-Jan-95,01-May-31,"$675,900.00",8.375,"$295,751.32","RIVERSIDE MANOR INC. (YOUNGSTOWN, OH)"
Detroit,Detroit,800016932,MARC APARTMENTS,4733 LEE RD,CLEVELAND,OH,44128,3765,01-Apr-84,042EH127,202,202/8 Direct Loan/ Elderly-Handicapped,80,80,07-Jul-83,04-Feb-85,01-Feb-25,"$3,354,700.00",9.25,"$80,383.69",LEE-MILES SENIOR CITIZENS HOUSING CORPORATION
Detroit,Detroit,800016897,MARKET PLACE,232 N COLE ST,LIMA,OH,45805,2479,22-Oct-91,043EH313,202,202/8 Direct Loan/ Elderly-Handicapped,25,25,26-Sep-90,19-Mar-92,01-Oct-31,"$960,800.00",8.375,"$436,863.48","NBC-USA Housing, Inc., 15"
Detroit,Detroit,800016901,MASSILLON HOUSING FOR THE ELDERLY,420 23RD ST NE,MASSILLON,OH,44646,,09-Jun-92,042EH450,202,202/8 Direct Loan/ Elderly-Handicapped,50,50,30-Sep-91,07-Jul-94,01-Dec-32,"$2,308,900.00",9,"$1,224,297.84",ALPHA-MASSILLON HOUSING CORP.
Detroit,Detroit,800010331,MCINTOSH MANOR,777 BUTTERNUT DR,HOLLAND,MI,49424,1572,10-Aug-90,047EH128,202,202/8 Direct Loan/ Elderly-Handicapped,32,32,18-Oct-89,24-May-91,01-Mar-31,"$1,120,700.00",9.25,"$508,185.51",MC INTOSH MANOR NON-PROFIT HOUSING CORP
Detroit,Detroit,800016539,MCNAUGHTON APARTMENTS AKA EXTENDED HOUSING,608 LIBERTY ST,PAINESVILLE,OH,44077,3675,30-Mar-87,042EH275,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,01-Aug-86,20-Jul-88,01-May-27,"$472,000.00",9.25,"$99,600.78","EXTENDED HOUSING, INC."
Detroit,Detroit,800016923,MIAMI COMMUNITY,4240 Ivanhoe AVE,NORWOOD,OH,45212,2914,01-Aug-91,046EH174,202,202/8 Direct Loan/ Elderly-Handicapped,8,8,18-Jan-91,26-Jun-92,01-Apr-32,"$293,900.00",8.375,"$132,694.28","Immanuel Housing Association III, Inc."
Detroit,Detroit,800017096,PINECREST GROUP HOME,2030 Princeton Rd,Hamilton,OH,45011,4746,15-Apr-85,046EH086,202,202/8 Direct Loan/ Elderly-Handicapped,8,8,24-Feb-84,30-Jun-86,01-Jun-26,"$273,700.00",9.25,"$38,099.23",Transitional Living Inc
Detroit,Detroit,800016336,CURTIS STREET APARTMENTS,428 Curtis ST,MIDDLETOWN,OH,45044,4383,17-Dec-85,046EH118,202,202/8 Direct Loan/ Elderly-Handicapped,20,19,24-Apr-85,19-Jun-86,01-Jul-26,"$742,800.00",9.25,"$112,996.52","T.L.I. Housing Opportunities ,Inc."
Detroit,Detroit,800016940,MORROW COMMONS,475 PARK AVE,MOUNT GILEAD,OH,43338,1184,13-Sep-91,043EH298,202,202/8 Direct Loan/ Elderly-Handicapped,30,30,28-Sep-90,10-Jul-92,01-Sep-31,"$1,015,300.00",8.375,"$457,525.14","FIRST RICHLAND-MORROW HOUSING, INC. II"
Detroit,Detroit,800017015,NWC CORPORATION,1404 N WEST ST,LIMA,OH,45801,2828,23-May-91,043EH280,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,24-Sep-90,17-Apr-92,01-Jan-32,"$761,200.00",8.375,"$355,262.08",NWC CORPORATION
Detroit,Detroit,800017034,OHIO HOUSE,1620 MIRAMAR Court,CINCINNATI,OH,45237,2718,15-Feb-85,046EH121,202,202/8 Direct Loan/ Elderly-Handicapped,8,7,15-Feb-85,16-Sep-86,01-Jul-25,"$258,900.00",9.25,"$15,820.01","We-Care Homes II, Inc."
Detroit,Detroit,800017043,ORWIG HOUSE,460 E SECOND ST,LOGAN,OH,43138,1476,25-Feb-85,043EH105,202,202/8 Direct Loan/ Elderly-Handicapped,8,8,22-Jun-84,12-Jun-85,01-Feb-25,"$205,400.00",9.25,"$4,778.98","TRI-COUNTY MH AND COUNSELING SERV. BD. , INC."
Detroit,Detroit,800017070,PARKSIDE MANOR,69 E LUCIUS AVE,YOUNGSTOWN,OH,44507,1804,02-Feb-91,042EH393,202,202/8 Direct Loan/ Elderly-Handicapped,15,15,30-Sep-91,27-Aug-97,01-Jul-32,"$500,000.00",9,"$255,710.08","PARKSIDE MANOR, INC."
Detroit,Detroit,800017093,PINE HOUSE,1295 PEBBLE CREEK DR,LIMA,OH,45801,1751,25-Mar-86,043EH207,202,202/8 Direct Loan/ Elderly-Handicapped,8,7,30-Sep-85,25-Sep-86,01-May-26,"$267,900.00",9.25,"$35,468.25",ARC 1st Housing Corporation
Detroit,Detroit,800016857,LOVE ZION MANOR,2436 INNIS RD,COLUMBUS,OH,43224,3797,11-Jun-90,043EH277,202,202/8 Direct Loan/ Elderly-Handicapped,25,25,29-Sep-89,23-Aug-91,01-Oct-30,"$999,800.00",8.5,"$409,957.37","NBC-USA Housing, Inc., 5"
Detroit,Detroit,800017134,MIDHAM HOMES,403 Curtis St,Middletown,OH,45044,4315,08-Oct-97,046EH137,202,202/8 Direct Loan/ Elderly-Handicapped,16,16,17-Dec-86,25-Jan-89,01-Dec-27,"$554,000.00",9.25,"$141,392.72","Midham Homes, Inc."
Detroit,Detroit,800016509,EASTWAY HOME,3417 N MARSHALL RD,KETTERING,OH,45429,3631,13-May-92,046EH194,202,202/8 Direct Loan/ Elderly-Handicapped,8,8,26-Sep-91,17-Dec-92,01-Jun-32,"$315,200.00",9,"$159,974.50","Eastcare II, Inc."
Detroit,Detroit,800017133,R J GORDON MANOR,511 FULLER RD,ELYRIA,OH,44035,8000,24-Jul-91,042EH412,202,202/8 Direct Loan/ Elderly-Handicapped,30,30,24-Aug-90,04-Jun-99,01-Nov-31,"$1,161,400.00",8.375,"$532,480.75","NBC-USA Housing, Inc., 7"
Detroit,Detroit,800009902,BARAGA MANOR,301 WASHINGTON ST,OTSEGO,MI,49078,1276,01-May-84,047EH058,202,202/8 Direct Loan/ Elderly-Handicapped,48,48,27-Sep-83,07-Nov-84,01-Feb-25,"$1,200,900.00",9.25,"$28,047.80",OTSEGO SENIOR APARTMENTS
Detroit,Detroit,800009912,BEAR CREEK VILLA,179 E FERNEY ST,CLARKSVILLE,MI,48815,9761,15-Jan-88,047EH103,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,07-Nov-86,15-Jan-88,01-Jan-28,"$778,700.00",9.25,"$202,110.12",CLARKSVILLE AREA SENIOR HOUSING INC
Detroit,Detroit,800016316,BROWN COUNTY APARTMENTS,100 BANTING DR,GEORGETOWN,OH,45121,1462,18-Oct-91,046EH199,202,202/8 Direct Loan/ Elderly-Handicapped,13,12,18-Jan-91,04-Sep-92,01-Oct-31,"$537,300.00",8.375,"$244,301.63",ABCAP Housing Renovations Limited Partnership
Detroit,Detroit,800016357,CARDINGTON MANOR,316 Park Street,Cardington,OH,43315,1088,16-Jul-92,043EH292,202,202/8 Direct Loan/ Elderly-Handicapped,25,25,30-Sep-91,03-Nov-93,01-Sep-32,"$813,500.00",8.375,"$404,784.31",FIRST RICHLAND MORROW HOUSING III INC
Detroit,Detroit,800016377,CEDAR HOUSE,1295 PEBBLE CREEK DR,LIMA,OH,45801,1751,25-Mar-86,043EH208,202,202/8 Direct Loan/ Elderly-Handicapped,8,7,30-Sep-85,25-Sep-86,01-May-26,"$267,900.00",9.25,"$36,855.61",ARC Second Housing
Detroit,Detroit,800010065,DOWAGIAC VILLA,300 CLEVELAND ST,DOWAGIAC,MI,49047,1195,18-Jun-87,047EH089,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,22-May-86,19-Feb-88,01-Dec-27,"$790,100.00",9.25,"$200,422.41",DOWAGIAC VILLA NON-PROFIT HOUSING CORPORATION
Detroit,Detroit,800010052,DAVID'S HOUSE,2390 BANNER ST SW,WYOMING,MI,49509,1930,17-Jun-87,047EH096,202,202/8 Direct Loan/ Elderly-Handicapped,10,10,24-Oct-86,15-Jan-88,01-Dec-27,"$303,600.00",9.25,"$76,997.85",DAVID'S HOUSE
Detroit,Detroit,800016721,HOPEWELL HOUSE,25 HOCKING ST,ATHENS,OH,45701,6304,27-Jun-85,043EH104,202,202/8 Direct Loan/ Elderly-Handicapped,8,8,14-Sep-84,23-Jun-86,01-Aug-25,"$308,900.00",9.25,"$21,155.08","TRI-COUNTY MH AND COUNSELING SERV. BD. , INC."
Detroit,Detroit,800016508,EASTWAY I/WESTBROOK APARTMENTS,5451-77 Westbrook RD,DAYTON,OH,45415,9767,14-Mar-91,046EH193,202,202/8 Direct Loan/ Elderly-Handicapped,13,13,28-Sep-90,04-Dec-91,01-May-31,"$545,600.00",8.375,"$236,834.48","EastCare I, Inc."
Detroit,Detroit,800016564,FINDLAY MANOR,931 15TH ST,PORTSMOUTH,OH,45662,3484,07-Aug-89,043EH252,202,202/8 Direct Loan/ Elderly-Handicapped,25,25,04-Aug-88,20-Feb-91,01-Sep-29,"$966,600.00",9,"$426,501.53",PORTSMOUTH INNER CITY DEV. CORP. HOUSING ASSOC. I
Detroit,Detroit,800016601,FRIENDSHIP MANOR,961 S MAIN ST,MANSFIELD,OH,44907,2545,06-Sep-90,042EH380,202,202/8 Direct Loan/ Elderly-Handicapped,22,22,21-Dec-89,20-May-92,01-Nov-30,"$875,100.00",8.375,"$357,403.74","FIRST RICHLAND-MORROW HOUSING I, INC."
Detroit,Detroit,800010152,GRAND TRAVERSE COMMUNITY LIVING APARTMENTS,920 Grant St,Traverse City,MI,49686,4224,19-Jun-85,047EH065,202,202/8 Direct Loan/ Elderly-Handicapped,10,9,03-Dec-84,06-Feb-86,01-Sep-25,"$400,400.00",9.25,"$30,349.51",GRAND TRAVERSE AREA INDEPENDENT HOUSING CORP
Detroit,Detroit,800016669,HELEN S BROWN TOWER,1821 NOBLE RD,EAST CLEVELAND,OH,44112,1668,25-Jul-86,042EH206,202,202/8 Direct Loan/ Elderly-Handicapped,64,64,23-Aug-85,18-Aug-88,01-Nov-36,"$1,782,384.42",2.5,"$764,422.50",Helen S Brown Apartments LP
Detroit,Detroit,800016669,HELEN S BROWN TOWER,1821 NOBLE RD,EAST CLEVELAND,OH,44112,1668,25-Jul-86,042EH206,202,202/8 Direct Loan/ Elderly-Handicapped,64,64,23-Aug-85,18-Aug-88,01-Nov-36,"$1,782,384.42",2.5,"$764,422.50",Helen S Brown Apartments LP
Detroit,Detroit,800016670,HELP HOUSING FOR THE DISABLED,6818-30 BONNA AVE,CLEVELAND,OH,44103,,20-Sep-91,042EH430,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,30-Sep-91,28-Dec-94,01-Sep-32,"$1,135,000.00",9,"$588,468.40","HELP HOUSING FOR THE DISABLED, INC"
Detroit,Detroit,800016440,COMMODORE COURT APTS,105 COMMODORE LN,BARNESVILLE,OH,43713,1500,11-Mar-87,043EH219,202,202/8 Direct Loan/ Elderly-Handicapped,10,10,12-Mar-87,25-May-88,01-Mar-28,"$326,200.00",9.25,"$88,499.59","ALTERNATIVE LIFESTYLES, INC."
Detroit,Detroit,800017246,SHAWNEE APARTMENTS,315 MARKET ST,PORTSMOUTH,OH,45662,3881,27-Jan-92,043EH295,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,26-Sep-90,31-Aug-92,01-Nov-31,"$856,600.00",8.375,"$448,155.78",SHAWNEE HOUSING ASSOCIATION
Detroit,Detroit,800017123,PROGRESS COMMUNITY,450 W Wyoming AVE,CINCINNATI,OH,45215,3002,09-Jul-89,046EH163,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,19-Sep-88,17-Aug-90,01-May-29,"$249,400.00",9,"$85,149.04","Immanuel Housing Association II, Inc."
Detroit,Detroit,800016983,WASHINGTON AVENUE GROUP HOME,3519 Washington AVE,CINCINNATI,OH,45229,2615,06-Mar-89,046EH165,202,202/8 Direct Loan/ Elderly-Handicapped,6,6,19-Sep-88,17-Aug-90,01-May-29,"$249,400.00",9,"$85,149.04","Washington Avenue Supportive Housing, LLC"
Detroit,Detroit,800017395,VALLEY HOUSE,3731 ISABELLA AVE,CINCINNATI,OH,45209,2301,01-Oct-85,046EH111,202,202/8 Direct Loan/ Elderly-Handicapped,8,7,15-Feb-85,16-Sep-86,01-Jul-25,"$265,200.00",9.25,"$16,118.51","Miami Valley Lutheran Hsg. Assoc. III,Inc."
Detroit,Detroit,800017265,SMITH HOUSE,421 W Vine St,Wilmington,OH,45177,1268,20-Jun-86,046EH133,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,15-Oct-85,03-Feb-87,01-Jun-26,"$280,400.00",9.25,"$40,639.12","Friends Handicapped Housing, Inc."
Detroit,Detroit,800017196,RUSHIN MEADOWS,778 NORTHGATE DR,RAVENNA,OH,44266,4104,16-Nov-89,042EH405,202,202/8 Direct Loan/ Elderly-Handicapped,50,50,15-Dec-88,25-Mar-92,01-Mar-30,"$1,863,700.00",9,"$728,594.87",WINDHAM HOUSING CORPORATION
Detroit,Detroit,800017182,ROBIN ROGERS APARTMENTS,990 W ROBB AVE,LIMA,OH,45801,2787,26-Jan-90,043EH269,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,21-Jun-89,09-Nov-90,01-Jul-30,"$790,900.00",9.25,"$329,989.24",ARC 3rd Housing Corporation
Detroit,Detroit,800010500,RIVER VILLAGE,162 RIVER ST,COOPERSVILLE,MI,49404,1382,29-Sep-86,047EH073,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,26-Sep-85,15-May-87,01-Apr-27,"$1,376,000.00",9.25,"$281,742.83",Coopersville River Village Non-Profit Housing Corp
Detroit,Detroit,800017151,RESOURCE CENTER APARTMENTS,1086 Mound St,Springfield,OH,45505,1298,05-Jun-91,043EH282,202,202/8 Direct Loan/ Elderly-Handicapped,16,16,24-Oct-90,22-Apr-92,01-Jun-31,"$623,100.00",8.375,"$273,265.89",Resource Center Apartments
Detroit,Detroit,800017150,"RESIDENTIAL RESOURCES, INC.",611 Chestnut ST,COSHOCTON,OH,43812,1272,08-Nov-88,043EH233,202,202/8 Direct Loan/ Elderly-Handicapped,20,18,20-Nov-87,12-Dec-89,01-Dec-28,"$534,000.00",9,"$168,568.81","RESIDENTIAL RESOURCES, INC"
Detroit,Detroit,800017106,PLAZA VIEW III,2351 PLAZA AVE NE,WARREN,OH,44483,3501,01-Aug-85,042EH186,202,202/8 Direct Loan/ Elderly-Handicapped,32,32,10-Aug-84,16-Apr-93,01-May-25,"$1,105,500.00",9.25,"$51,052.85","PLAZA VIEW III, INC."
Detroit,Detroit,800010569,ST CLEMENTS HOUSE,4009 NORTHLAND ST,INKSTER,MI,48141,2832,14-Jun-92,044EH210,202,202/8 Direct Loan/ Elderly-Handicapped,40,39,08-Aug-91,19-Nov-93,01-Oct-32,"$2,161,900.00",8.375,"$1,087,637.52",ST. CLEMENTS NPHDC
Fort Worth,Fort Worth,800000696,MICHAEL T. O'BRIEN APARTMENTS (PRAC/202),1501 N LOOP RD,JACKSONVILLE,AR,72076,3451,06-Mar-92,082HH015,202,202/162 Direct Loan for Handicapped w/PAC,21,20,09-Aug-91,14-Jul-92,01-Apr-32,"$648,600.00",8.25,"$307,587.68",Michael T. O'Brien Apartments
Fort Worth,Fort Worth,800008232,GREENWOOD LODGE(PRAC/202),4121 Greenwood Ln,Shreveport,LA,71109,6266,08-Aug-91,064HH002,202,202/162 Direct Loan for Handicapped w/PAC,12,11,19-Mar-91,13-Oct-94,01-Jan-32,"$471,200.00",8.75,"$225,520.84",Shreveport VOA Community Living Center II Inc
Fort Worth,Fort Worth,800014642,VERN JOLLY HOUSE,1600 BOATRIGHT DR NE,ALBUQUERQUE,NM,87112,3831,07-Jan-91,116HH002,202,202/162 Direct Loan for Handicapped w/PAC,8,8,31-Aug-90,31-Oct-91,01-Dec-30,"$190,600.00",8.375,"$78,658.38",VERN JOLLY CORPORATION
Fort Worth,Fort Worth,800020999,KC Casa De Paz (202/162 NC/PAC),1200 W Corral Ave,Kingsville,TX,78363,3078,31-Jul-92,115HH004,202,202/162 Direct Loan for Handicapped w/PAC,19,19,12-Sep-91,18-Mar-93,01-Aug-32,"$737,300.00",9,"$379,809.54","Casa De Paz Housing Service, Inc"
Fort Worth,Fort Worth,800014558,CONCHA ORTIZ Y PINO DE KLEVEN,4139 MESA VERDE AVE NE,ALBUQUERQUE,NM,87110,7771,18-Mar-91,116HH001,202,202/162 Direct Loan for Handicapped w/PAC,10,10,31-Aug-90,31-Oct-91,01-Mar-31,"$475,500.00",8.375,"$202,403.38",Concha Ortiz y Pino De Kleven Corporation
Fort Worth,Fort Worth,800020831,DUNCANVILLE INDEPENDENT LIVING,423 Middale Rd Apt 25,Duncanville,TX,75116,3249,15-Oct-91,112HH001,202,202/162 Direct Loan for Handicapped w/PAC,24,23,02-Jul-91,22-Jan-92,01-Jun-32,"$1,187,900.00",9,"$602,761.61","DUNCANVILLE INDEPENDENT LIVING, INC."
Fort Worth,Fort Worth,800008233,CORBITT LODGE,1725 Corbitt St,Shreveport,LA,71108,3004,30-Oct-91,064HH003,202,202/162 Direct Loan for Handicapped w/PAC,12,11,19-Mar-91,13-Oct-94,01-Jan-32,"$469,700.00",8.75,"$225,135.80",Shreveport VOA Community Living I Inc
Fort Worth,Fort Worth,800014572,FRANK GRAY HOUSE,1105 GEORGIA ST NE,ALBUQUERQUE,NM,87110,6854,07-Jan-91,116HH003,202,202/162 Direct Loan for Handicapped w/PAC,9,8,31-Aug-90,31-Oct-91,01-Dec-30,"$177,900.00",8.375,"$73,444.60",Frank Gray Corporation
Fort Worth,Fort Worth,800021213,PASADENA COTTAGES,2122B Wichita St,Pasadena,TX,77502,4144,30-Mar-88,114EH122,202,202/8 Direct Loan/ Elderly-Handicapped,15,15,15-Oct-87,21-Oct-88,01-Oct-28,"$401,800.00",9,"$122,382.66","PASADENA COTTAGES,INC"
Fort Worth,Fort Worth,800000726,Park Street Apartments,711 E. Park St.,CARLISLE,AR,72024,,17-Apr-85,082EH094,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,14-Aug-84,22-Oct-85,01-May-25,"$650,200.00",9.25,"$30,045.39","Lonoke Housing, Inc."
Fort Worth,Fort Worth,800000718,"OUACHITA GROUP LIVING, INC.",1450 HARPER ST,CAMDEN,AR,71701,2616,21-Dec-90,082EH273,202,202/8 Direct Loan/ Elderly-Handicapped,15,14,15-Jun-90,09-May-91,01-Feb-31,"$317,000.00",8.375,"$133,568.32",Ouachita Group Living Inc
Fort Worth,Fort Worth,800000715,"ON OUR OWN, INC.",201 Cones Road,HOT SPRINGS,AR,71913,6510,01-Apr-86,082EH090,202,202/8 Direct Loan/ Elderly-Handicapped,40,38,27-Jun-85,06-Mar-87,01-Jul-26,"$1,115,200.00",9.25,"$162,820.64","On Our Own, Inc."
Fort Worth,Fort Worth,800000716,ON OUR OWN II,111 ARDMORE ST,HOT SPRINGS,AR,71913,3242,30-Mar-90,082EH272,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,21-Sep-89,23-Oct-90,01-May-30,"$582,100.00",9.125,"$236,100.48","On Our Own, II, Inc."
Fort Worth,Fort Worth,800000702,NEVADA COUNTY GROUP HOME,678 HATLEY ST,PRESCOTT,AR,71857,3400,29-Jul-87,082EH181,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,29-Jan-87,08-Mar-88,01-Sep-27,"$209,400.00",9.25,"$49,434.00","Nevada County Group Home, Inc."
Fort Worth,Fort Worth,800008119,MT. CALM SENIOR HAMLET,334 Lee St,Minden,LA,71055,4576,04-Aug-86,064EH109,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,27-Sep-85,11-Jan-93,01-Nov-26,"$1,235,200.00",9.25,"$213,277.28","Mt. Calm Senior Hamlet, Inc."
Fort Worth,Fort Worth,800008093,MISS PAT'S PLACE,120 Chandler St,Pineville,LA,71360,201,27-Jun-90,064EH140,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,27-Sep-89,19-Aug-91,01-Jun-30,"$355,700.00",8.375,"$137,451.61",LA Finance Corporation for Handicapped Citizens
Fort Worth,Fort Worth,800021050,LIGHTHOUSE LIVING CENTER II,8650 Wednesbury Ln,Houston,TX,77074,2909,04-Dec-89,114EH116,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,20-Jun-88,04-Dec-89,01-Jun-29,"$1,333,900.00",9,"$462,282.33","LIGHTHOUSE LIVING CENTERS NO. 2, INC"
Fort Worth,Fort Worth,800017659,MAYOR-WALLIS MANOR,901 SE 9TH ST,PRYOR,OK,74361,7235,19-Feb-91,118EH051,202,202/8 Direct Loan/ Elderly-Handicapped,31,31,21-Aug-90,26-Jul-91,01-Aug-31,"$737,400.00",8.375,"$329,284.51","MAYOR WALLIS MANOR, INC."
Fort Worth,Fort Worth,800000687,Mature Living of Tuckerman (HAP/DL/202/8),101 Doyle Cir,Tuckerman,AR,72473,9054,06-Oct-88,082EH250,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,21-Dec-87,19-May-89,01-Nov-28,"$503,900.00",9,"$156,195.67","Mature Living of Tuckerman, Inc."
Fort Worth,Fort Worth,800000685,MATURE LIVING OF BAY,500 Dorton St,Bay,AR,72411,9548,11-Jan-91,082EH294,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,11-Jul-90,05-Sep-91,01-Mar-31,"$554,200.00",8.125,"$231,434.36","Mature Living of Bay, Inc."
Fort Worth,Fort Worth,800000682,Margaret Fowler Manor (HAP),500 E 2nd St,Mc Crory,AR,72101,9711,08-Feb-91,082EH282,202,202/8 Direct Loan/ Elderly-Handicapped,20,20,19-Jul-90,25-Nov-91,01-Mar-31,"$565,500.00",8.375,"$240,713.37","Margaret Fowler Manor, Inc."
Fort Worth,Fort Worth,800021071,Lulac Haven,4601 Juarez Ave,Laredo,TX,78041,5700,30-Sep-82,115EH096,202,202/8 Direct Loan/ Elderly-Handicapped,48,48,22-Nov-85,02-Feb-88,01-Jan-27,"$1,396,500.00",9.25,"$259,245.51","Lulac Haven, Inc."
Fort Worth,Fort Worth,800017654,LINDSAY PLACE (HAP/202/8),1207 W. Cherokee #19,LINDSAY,OK,73052,,30-Mar-90,117EH120,202,202/8 Direct Loan/ Elderly-Handicapped,30,30,29-Sep-89,14-Dec-90,01-Jun-30,"$803,000.00",8.5,"$313,166.80","Oklahoma RHF Housing, Inc"
Fort Worth,Fort Worth,800000732,Pathfinder Plaza,713 POPLAR ST,JACKSONVILLE,AR,72076,4446,05-Mar-86,082EH127,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,26-Aug-85,02-Jul-86,01-May-26,"$241,200.00",9.25,"$31,948.89","Pathfinder Plaza, Inc."
Fort Worth,Fort Worth,800017767,Van Horn Manor,900 GARTRELL PL,WEATHERFORD,OK,73096,4013,23-Mar-87,117EH074,202,202/8 Direct Loan/ Elderly-Handicapped,48,38,03-Jul-86,15-Oct-87,01-Jun-27,"$990,600.00",9.25,"$215,239.95",WEATHERFORD AREA SENIOR HOUSING
Fort Worth,Fort Worth,800020851,Miracle Manor,1207 Miracle Dr,Edna,TX,77957,3302,28-Nov-89,115EH152,202,202/8 Direct Loan/ Elderly-Handicapped,24,23,23-Mar-89,28-Aug-90,01-Feb-30,"$772,700.00",9,"$298,380.40","Edna RHF Housing, Inc."
Fort Worth,Fort Worth,800021049,LIGHTHOUSE LIVING CENTER I,10600 Hazen St,Houston,TX,77072,3740,01-Feb-87,114EH088,202,202/8 Direct Loan/ Elderly-Handicapped,40,39,17-Jun-86,03-Feb-88,01-Jun-27,"$1,283,400.00",9.25,"$278,834.25","LIGHTHOUSE LIVING CENTERS INC, PHASE I"
Fort Worth,Fort Worth,800000826,ZUMWALT COURTS,1618 SOUTH RD,JACKSONVILLE,AR,72076,5792,02-Jun-88,082EH202,202,202/8 Direct Loan/ Elderly-Handicapped,21,20,16-Sep-87,10-Nov-88,01-May-28,"$560,700.00",9.25,"$158,551.88","Zumwalt Courts, Inc."
Fort Worth,Fort Worth,800000819,White County Group Home,2 Mary Lou Dr.,Searcy,AR,72143,6354,23-Oct-86,082EH143,202,202/8 Direct Loan/ Elderly-Handicapped,17,15,24-Mar-86,16-Mar-87,01-Dec-26,"$424,100.00",9.25,"$75,989.19","White County Group Homes, Inc."
Fort Worth,Fort Worth,800000817,WHIT DAVIS MEMORIAL CENTER (HAP/DL/202/8),1110 SOUTH RD,JACKSONVILLE,AR,72076,5745,13-Feb-91,082EH260,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,18-Sep-90,03-May-91,01-May-31,"$253,700.00",8.375,"$110,119.77","Whit Davis Memorial Center, Inc."
Fort Worth,Fort Worth,800021501,VOA COMMUNITY HOME I,1824 S Fielder Rd,Arlington,TX,76013,3738,04-Nov-87,113EH015,202,202/8 Direct Loan/ Elderly-Handicapped,7,6,14-Apr-87,11-May-88,01-May-28,"$153,900.00",9.25,"$43,938.01","VOA Community Homes - Texas 1, Inc."
Fort Worth,Fort Worth,800021480,Villa O'Keefe,2130 S Ww White Rd,San Antonio,TX,78222,1134,05-May-87,115EH104,202,202/8 Direct Loan/ Elderly-Handicapped,50,50,20-May-86,05-May-88,01-Aug-27,"$1,411,000.00",9.25,"$323,951.86",Villa O'Keefe Apartments
