FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,City,State Abbreviation,Zip_Code,Date_Loan_Closing,Loan_Amount,Total_Development_Cost,Population_Obligation,Median_Household_Income_Obligation,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Construction_Type,Project_Type
2006,"PNC BANK, N.A.","CLAY MEADOWS, LIMITED PARTNERSHIP",CLAY MEADOWS,111 WILLIARD COURT,FAYETTE,OH,435210000,2008-01-29T06:00:00Z,159837,4795524,1340,32115,24,24,325,425,REHAB/REPAIR,FAMILY
2015,"BONNEVILLE MORTGAGE COMPANY, LLC","CLDC ALTON, LP.",LA ESPERANZA DE ALTON,320 SOUTH STEWARD BLVD.,ALTON,TX,785730000,2015-03-27T05:00:00Z,2256468,10178654,12341,35000,16,40,437,507,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","CLDC RGC, LP.",LA ESPERANZA DEL RIO,315 BUTTERFLY GARDEN DRIVE,RIO GRANDE CITY,TX,785820000,2014-10-01T05:00:00Z,1442882,7394165,13834,24653,16,26,503,517,NEW CONSTRUCTION,FAMILY
2011,"BONNEVILLE MORTGAGE COMPANY, LLC","CLEVELAND AVENUE PARTNERS, LP",MADERA APARTMENTS,1525 E. CLEVELAND AVE.,MADERA,CA,936380000,2012-06-11T05:00:00Z,450000,4935302,43207,36286,32,32,317,380,REHAB/REPAIR,FAMILY
2008,BELLWETHER ENTERPRISE REAL ESTATE,"CLINTON COMMONS II HOUSING PARTNERS, LTD",CLINTON COMMONS II,100 COMMONS LANE,WILMINGTON,OH,451770000,2008-04-18T05:00:00Z,770000,4638742,11921,34880,0,40,0,473,NEW CONSTRUCTION,SENIOR
2023,CHURCHILL MORTGAGE INVESTMENT LLC,"CLINTON HEIGHTS, LP",THE HEIGHTS AT CLINTON,3000 WEST NORTHSIDE DRIVE,CLINTON,MS,390560000,2023-12-19T06:00:00Z,850000,11705580,28100,76000,16,20,720,850,REHAB/REPAIR,FAMILY
2008,CHURCHILL MORTGAGE INVESTMENT LLC,CLOVER RIDGE LLC,CLOVER RIDGE,525 PINE BARK LANE,MCCONNELSVILLE,OH,437560000,2008-07-30T05:00:00Z,550000,3369766,1676,25563,6,12,285,400,NEW CONSTRUCTION,SENIOR
2007,"BONNEVILLE MORTGAGE COMPANY, LLC","CLOVERSET PLACE, LP",CLOVERSET PLACE,84 WILSON ST,HAZLEHURST,GA,315390000,2008-06-27T05:00:00Z,460000,4600000,3787,27310,16,16,325,350,NEW CONSTRUCTION,FAMILY
2015,"BONNEVILLE MORTGAGE COMPANY, LLC","COCHISE PACIFIC ASSOCIATES, AN AZ LP",CASA DE ESPERANZA,425 10TH STREET,DOUGLAS,AZ,856070000,2016-08-01T05:00:00Z,1625000,8558929,17378,27638,0,35,0,486,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","COCHISE PACIFIC ASSOCIATES, LP",SUN RAY FAMILY APARTMENTS,425 10TH STREET,DOUGLAS,AZ,856070000,2015-12-17T06:00:00Z,750000,11118445,17378,45906,0,23,0,608,NEW CONSTRUCTION,FAMILY
2007,"BONNEVILLE MORTGAGE COMPANY, LLC","COFFEYVILLE GARDEN APARTMENTS, LLC",COFFEYVILLE GARDENS,1099 HIGHLAND ROAD,COFFEYVILLE,KS,673370000,2012-04-05T05:00:00Z,945000,2243000,11021,25542,10,40,375,435,REHAB/REPAIR,FAMILY
2019,"LUMENT REAL ESTATE CAPITAL, LLC",COLONY WOODS NC LIMITED PARTNERSHIP,COLONY WOODS,901 E. LITTLETON ROAD,ROANOKE RAPIDS,NC,278760000,2019-02-27T06:00:00Z,859900,3123275,632,24514,32,2,532,575,REHAB/REPAIR,SENIOR
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",GUADALUPE HACIENDA,404 W 8TH STREET,ANTONITO,CO,811200000,2018-09-10T05:00:00Z,788180,2496958,781,51200,0,24,0,739,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",MOUNT BLANCA,201 MARKET STREET,ALAMOSA,CO,811010000,2018-09-10T05:00:00Z,1425000,4866071,8780,51500,50,0,680,0,REHAB/REPAIR,SENIOR
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",CIELO VISTA,166 S WILLS STREET,CENTER,CO,811250000,2018-09-10T05:00:00Z,445000,2311201,2230,51500,24,0,631,0,REHAB/REPAIR,SENIOR
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",SANGRE DE CRISTO,273 S WILLS STREET,CENTER,CO,811250000,2018-09-10T05:00:00Z,316428,1780321,2230,51500,0,14,0,707,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",VALLE VISTA,58 CENTRAL AVENUE,CENTER,CO,811250000,2018-09-10T05:00:00Z,594743,2244980,2230,51500,0,16,0,724,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","COLORADO 7, LIMITED PARTNERSHIP",GOMEZ MANOR,804 STATE STREET,ANTONITO,CO,811200000,2018-09-10T05:00:00Z,432324,2015751,781,51200,0,4,0,728,REHAB/REPAIR,FAMILY
2020,GREYSTONE SERVICING COMPANY LLC,"COLUMBIA PLACE, LLC",COLUMBIA GREENS APARTMENTS,305 TRABUE STREET,COLUMBIA,KY,427280000,2021-03-04T06:00:00Z,354000,2981067,4452,48100,12,12,485,560,REHAB/REPAIR,FAMILY
2014,BELLWETHER ENTERPRISE REAL ESTATE,"COLUMBUS PROPERTIES, L.P.",APPLE GLEN APARTMENTS,1200 E MAPLE,COLUMBUS,KS,667250000,2014-04-01T05:00:00Z,500000,2471703,3250,38151,4,14,425,500,REHAB/REPAIR,FAMILY
2009,"BONNEVILLE MORTGAGE COMPANY, LLC","COLUSA DEL REY INVESTORS, A CA LP",COLUSA DEL REY FAMILY APTS,195 E. CARSON ST.,COLUSA,CA,959320000,2009-03-30T05:00:00Z,3500000,16168699,5402,35062,0,40,0,299,NEW CONSTRUCTION,FAMILY
2017,MERCHANTS CAPITAL CORP.,"CONRAD CORNERS, LLC",CONRAD CORNERS,101 CONRAD DRIVE,KING,NC,270210000,2017-03-14T05:00:00Z,1980000,7872322,6904,41944,0,36,0,575,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","COPELLO SQUARE, A CA LP",ALTAVILLE APARTMENTS,675 COPELLO DRIVE,ANGELS CAMP,CA,952220000,2012-07-06T05:00:00Z,1150000,7013155,4246,44764,14,34,345,415,REHAB/REPAIR,FAMILY
2021,GREYSTONE SERVICING COMPANY LLC,"COPPERFIELD APARTMENTS, LLC",COPPERFIELD APARTMENTS,211 S. STATE ROAD 135,TRAFALGAR,IN,461810000,2021-05-12T05:00:00Z,615000,2029895,1101,82000,8,8,619,699,REHAB/REPAIR,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"CORDELE HERITAGE OAKS, LP",HERITAGE OAKS,809 E BROAD STREET,CORDELE,GA,310150000,2014-12-10T06:00:00Z,360900,3918094,11147,44200,14,36,435,480,REHAB/REPAIR,FAMILY
2006,KEYBANK NA,CORINNA HOUSING CORPORATION,SUNSHINE VILLAGE APARTMENTS,25 SUNSHINE VILLAGE DRIVE,CORINNA,ME,49280000,2007-04-25T05:00:00Z,708287,730193,5305,32115,18,6,725,775,REHAB/REPAIR,SENIOR
2007,"LUMENT REAL ESTATE CAPITAL, LLC","COTTAGE PARK LP3, LLC",COTTAGE PARK APARTMENTS,700 COTTAGE PARK CIRCLE,GUTHRIE,OK,730440000,2012-04-17T05:00:00Z,1385500,4965268,9925,30460,10,24,405,638,NEW CONSTRUCTION,SENIOR
2013,"BONNEVILLE MORTGAGE COMPANY, LLC",COTTAGES AT TWIN OAKS LP,COTTAGES AT TWIN OAKS,55 COTTAGE OAKS WAY,ANGIER,NC,275015511,2015-09-25T05:00:00Z,1055000,6502503,4350,42965,0,16,0,360,NEW CONSTRUCTION,FAMILY
2005,"PNC BANK, N.A.",COTTONWOOD POINTE,COTTONWOOD POINTE,388 SYLVESTER RD BOX 49,CAMILLA,GA,317300000,2006-04-06T05:00:00Z,440000,4392000,5669,22485,24,24,297,319,NEW CONSTRUCTION,SENIOR
2020,"BONNEVILLE MORTGAGE COMPANY, LLC","COUNTRY TERRACE HOUSING, LTD.",COUNTRY TERRACE VILLAGE,2500 E WALLISVILLE RD,HIGHLANDS,TX,775620000,2021-10-06T05:00:00Z,1162395,15224839,7522,74900,24,87,540,566,REHAB/REPAIR,FAMILY
2009,MERCHANTS CAPITAL CORP.,"COUNTRY TRACE, L.P.",COUNTRY TRACE APARTMENTS,13590 GREENE STREET NE,PALMYRA,IN,471640000,2009-09-17T05:00:00Z,560000,3624856,663,36964,6,22,330,397,NEW CONSTRUCTION,SENIOR
2021,"LUMENT REAL ESTATE CAPITAL, LLC","COUNTRY VIEW MFRD4, LLC",COUNTRY VIEW SENIOR APARTMENTS,280 SOUTH SHORTS CORNER ROAD,NEW PEKIN,IN,471650000,2022-03-08T06:00:00Z,1284700,3481179,1401,47078,25,5,600,700,REHAB/REPAIR,SENIOR
2021,GREYSTONE SERVICING COMPANY LLC,"COUNTRY VILLAGE APARTMENTS, LLC",COUNTRY VILLAGE APARTMENTS,603 E. MAIN STREET,WAVELAND,IN,479890000,2021-05-12T05:00:00Z,870000,2213959,4138,67900,11,8,640,720,REHAB/REPAIR,FAMILY
2020,BELLWETHER ENTERPRISE REAL ESTATE,"COUNTRYSIDE APARTMENTS II, LP",COUNTRYSIDE APARTMENTS,3344 COUNTRYSIDE CIRCLE,HORN LAKE,MS,386370000,2021-01-28T06:00:00Z,1818000,3816701,26066,64200,16,32,575,610,REHAB/REPAIR,FAMILY
2004,MERCHANTS CAPITAL CORP.,CRAIG BEACH HOMES LTD. PTR.,CRAIG BEACH HOMES,9015 MAPLE GROVE RD.,WINDHAM,OH,442880000,2006-02-28T06:00:00Z,645000,3307282,1254,35227,0,0,0,0,NEW CONSTRUCTION,FAMILY
2021,GREYSTONE SERVICING COMPANY LLC,"CRAWFORDSVILLE PARTNERSHIP, LLC",INDIAN SPRINGS,606 INDIAN SPRINGS,CRAWFORDSVILLE,IN,479330000,2021-05-12T05:00:00Z,907000,2867685,5403,67900,0,18,0,650,REHAB/REPAIR,FAMILY
2021,BELLWETHER ENTERPRISE REAL ESTATE,CREEKSIDE TERRACE LP,"CREEKSIDE TERRACE, L.P.",5118 FOURNIER ROAD,MARIPOSA,CA,953380000,2023-03-17T05:00:00Z,3076640,19697256,18251,66900,19,12,729.33,923.75,NEW CONSTRUCTION,FAMILY
2020,BELLWETHER ENTERPRISE REAL ESTATE,"CRENSHAW MANOR II, LP",CRENSHAW MANOR,325 CRENSHAW SLEDGE ROAD,CRENSHAW,MS,386370000,2021-01-28T06:00:00Z,731800,1866737,885,34300,18,6,635,685,REHAB/REPAIR,SENIOR
2019,"LUMENT REAL ESTATE CAPITAL, LLC",CREST KNOLLS  NC LIMITED PARTNERSHIP,CREST KNOLLS,2 CREST KNOLLS STREET SE,TAYLORSVILLE,NC,286810000,2019-02-27T06:00:00Z,1452200,3297906,2098,49500,12,20,590,687,REHAB/REPAIR,FAMILY
2008,"LUMENT REAL ESTATE CAPITAL, LLC",CRESTON STATION LIMITED I LP,CRESTON STATION,227 COULTER STREET,CRESTON,OH,442170000,2008-02-28T06:00:00Z,1335000,3515988,2095,56300,33,15,595,670,REHAB/REPAIR,SENIOR
2010,WEST VIRGINIA HOUSING DEVELOPMENT FUND,CRESTVIEW VILLAGE LLC,CRESTVIEW VILLAGE,222 CRESTVIEW DRIVE,BECKLEY,WV,258010000,2012-03-15T05:00:00Z,810000,5071686,2000,48200,24,24,455,455,NEW CONSTRUCTION,SENIOR
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","CROSBY MEADOWS HOUSING, LTD.",COURTYARDS @ CROSBY,304 KRENEK ROAD,CROSBY,TX,775320000,2019-02-08T06:00:00Z,1719784,9124210,2299,53822,24,69,545,580,REHAB/REPAIR,FAMILY
2009,BELLWETHER ENTERPRISE REAL ESTATE,"CROSS CREEK HOUSING PARTNERS, LTD",CROSS CREEK MEADOWS,199 FRONTIER DR,CHILLICOTHE,OH,456010000,2010-11-23T06:00:00Z,461864,9566692,11750,46968,0,0,0,0,NEW CONSTRUCTION,FAMILY
2015,BELLWETHER ENTERPRISE REAL ESTATE,"CROSS CREEK MEADOWS HSG PARTNERS II, LLC",CROSS CREEK MEADOWS,199 FRONTIER DR,UNION,OH,456010000,2016-12-22T06:00:00Z,750335,7030944,11750,52118,0,0,0,0,NEW CONSTRUCTION,FAMILY
2006,"PNC BANK, N.A.","CROSSROADS MEADOW, LLC",CROSSROADS MEADOW,112 MCCONAHY WAY,EBENSBURG,PA,159311877,2006-10-27T05:00:00Z,1700000,5538657,3091,32628,20,20,430,495,NEW CONSTRUCTION,FAMILY
2019,CHURCHILL MORTGAGE INVESTMENT LLC,"CULLEN HOUSING, LP",CULLEN SQUARE APARTMENTS,2 NORTH COLLINS STREET,CULLEN,LA,710210000,2019-09-05T05:00:00Z,768425,6212276,1163,30891,40,10,590,673,REHAB/REPAIR,SENIOR
2020,GREYSTONE SERVICING COMPANY LLC,"CUMBERLAND PLACE APARTMENTS, LLC",CUMBERLAND COURT APARTMENTS,101 CUMBERLAND COURT,MONTICELLO,KY,426330000,2021-03-04T06:00:00Z,127000,2490333,6188,38300,8,12,465,510,REHAB/REPAIR,FAMILY
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"CUMBERLAND VIEW, L.P.",CUMBERLAND VIEW,300 OTIS GREEN DRIVE,SNEEDVILLE,TN,378690000,2020-09-24T05:00:00Z,1405000,7000940,1387,37318,24,21,490,612,REHAB/REPAIR,FAMILY
2003,FIRST SECURITY BANK,"CURIA CREEK APARTMENTS II, AN AR. L.P.",CURIA CREEK APARATMENTS II,CURIA CREEK LANE,CAVE CITY,AR,725210000,2005-12-18T06:00:00Z,557000,1450000,1946,33000,0,4,0,488,NEW CONSTRUCTION,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","CUSHING EAGLE CREST APARTMENTS, LP",EAGLE CREST APARTMENTS,300 EAST QUAIL CREEK DRIVE,CUSHING,OK,740230000,2022-01-27T06:00:00Z,825000,7401903,7746,42106,2,42,490,606,REHAB/REPAIR,FAMILY
2015,"BONNEVILLE MORTGAGE COMPANY, LLC",CWM AFFORDABLE LP,CHERRYWOOD MANOR SENIOR APTS,979 CHERRY AVENUE,BEAUMONT,CA,922230000,2017-05-02T05:00:00Z,900000,4221365,36877,56529,30,0,700,0,REHAB/REPAIR,SENIOR
2020,BELLWETHER ENTERPRISE REAL ESTATE,"CYPRESS CREEK HAZELWOOD STREET, LP.",CYPRESS CREEK APARTMENT HOMES,899 EAST HAZELWOOD STREET,PRINCETON,TX,754070000,2022-02-24T06:00:00Z,19814600,33323051,6807,95600,60,64,848,1152,NEW CONSTRUCTION,FAMILY
2016,BELLWETHER ENTERPRISE REAL ESTATE,"CYPRESS CREEK PARKER CREEK NORTH, LP.",CYPRESS CREEK APARTMENT HOMES,NORTHWEST QUADRANT OF I-30,ROYSE CITY,TX,751890000,2018-04-26T05:00:00Z,19605000,36971798,9349,70400,48,84,686,920,NEW CONSTRUCTION,FAMILY
2006,WEST VIRGINIA HOUSING DEVELOPMENT FUND,DARA HEIGHTS LIMITED PARTNERSHIP,DARA HEIGHTS APARTMENTS,214 DARA HEIGHTS PLACE,PRINCETON,WV,247400000,2009-04-09T05:00:00Z,1375000,3632625,6347,40550,12,20,338,465,NEW CONSTRUCTION,FAMILY
2012,"LUMENT REAL ESTATE CAPITAL, LLC","DEER RUN APARTMENTS, LLC",SUMMIT POINTE APARTMENTS,600 DEER RUN DRIVE,LAWRENCEBURG,IN,470250000,2013-09-27T05:00:00Z,1576000,10136374,5042,31029,17,48,474,576,REHAB/REPAIR,FAMILY
2013,"LUMENT REAL ESTATE CAPITAL, LLC","DEER RUN APARTMENTS, LLC",SUMMIT POINTE APARTMENTS,600 DEER RUN DRIVE,LAWRENCEBURG,IN,470250000,2013-09-27T05:00:00Z,224000,10136374,5042,31029,17,48,474,576,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC",DESERT PROPERTIES ASSOCIATES LLC,DESERT PROPERTIES APARTMENTS,1000 ERIE MAIN STREET,TONOPAH,NV,890490000,2018-10-30T05:00:00Z,1217170,8335799,2478,41712,32,24,575,610,REHAB/REPAIR,MIXED
2015,"BONNEVILLE MORTGAGE COMPANY, LLC","DESOTO HOUSING II, L.P.",VALLEY SPRINGS SENIOR II,31605 W 83RD CIRCLE,DE SOTO,KS,660180000,2015-06-17T05:00:00Z,1115386,4166544,5720,69900,0,28,0,627,NEW CONSTRUCTION,SENIOR
2003,"PNC BANK, N.A.","DEVON HOUSE, LLC",DEVON HOUSE,843 N. WATER STREET,TIFFIN,OH,448850000,2005-06-03T05:00:00Z,777000,3450552,18135,24215,8,20,430,490,NEW CONSTRUCTION,SENIOR
2019,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA ARMONA VILLAGE, LP",ARMONA VILLAGE APARTMENTS,13845 LYN STREET,ARMONA,CA,932020000,2019-05-30T05:00:00Z,1350000,7559408,4156,49742,11,20,846,960,REHAB/REPAIR,FAMILY
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA GARDEN VALLEY ASSOCIATES, LP",GARDEN VALLEY HOMES I,22701 DAVIDSON DRIVE,SAN JOAQUIN,CA,936600000,2018-02-26T06:00:00Z,3050000,9804065,4001,45563,12,24,615,739,REHAB/REPAIR,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA LAS TERRAZAS ASSOCIATES, LP",LAS TERRAZAS APARTMENTS,661 E. PATAGONIA HIGHWAY,NOGALES,AZ,856210000,2022-01-12T06:00:00Z,4975000,14461487,19770,61050,16,48,845,945,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA OAKHURST ASSOCIATES, LP",OAKHURST APARTMENTS,48444 VICTORIA LANE,OAKHURST,CA,936440000,2020-03-23T05:00:00Z,1363000,11135072,2829,45073,30,16,755,850,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA PLEASANT VALLEY ASSOCIATES, LP",PLEASANT VALLEY PINES,141 S. THIRD STREET,FRESNO,CA,932100000,2019-09-17T05:00:00Z,2440000,12514881,13380,45233,16,24,627,785,REHAB/REPAIR,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA WALNUT ASSOCIATES, LP",WALNUT APARTMENTS,311 E WALNUT STREET,FORT BRAGG,CA,954370000,2021-11-30T06:00:00Z,5240000,11727602,14489,46366,24,28,945,1245,REHAB/REPAIR,FAMILY
2024,"BONNEVILLE MORTGAGE COMPANY, LLC","DFA WALNUT ASSOCIATES, LP",WALNUT APARTMENTS,311 E WALNUT STREET,FORT BRAGG,CA,954370000,2024-10-31T05:00:00Z,894091,12318441,14489,46366,24,28,1081,1381,REHAB/REPAIR,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC",DHA AFFORDABLE L.P.,DESERT HORIZON APARTMENTS,66789 TWO BUNCH PALMS TRAIL,DESERT HOT SPRINGS,CA,922400000,2018-08-31T05:00:00Z,1000000,8282442,25938,56592,20,16,658,708,REHAB/REPAIR,FAMILY
2024,"BONNEVILLE MORTGAGE COMPANY, LLC",DHI OLIVE MANOR LP,OLIVE MANOR SR CIT APTS II,1901 7TH AVE,OLIVEHURST,CA,959610000,2024-07-17T05:00:00Z,2490000,10255817,16595,78750,44,0,1375,0,REHAB/REPAIR,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","DHI SHASTA GARDEN APARTMENTS, LP",SHASTA GARDEN APARTMENTS,226 E. SHASTA STREET,ORLAND,CA,959630000,2024-01-31T06:00:00Z,2200000,10312878,7291,34850,20,17,587.5,706.5,REHAB/REPAIR,FAMILY
2023,"BONNEVILLE MORTGAGE COMPANY, LLC",DHI SONORA GARDEN APARTMENTS LP,SONORA GARDEN APARTMENTS,100 GREENLEY ROAD,SONORA,CA,953700000,2024-09-13T05:00:00Z,1175000,7980054,5003,84300,12,12,783,942,REHAB/REPAIR,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","DHI TAMARISK ASSOCIATES, LP",TAMARISK APARTMENTS,24643 SCHOOL ROAD,RIPLEY,CA,922250000,2013-10-01T05:00:00Z,2678000,4897504,692,54296,0,22,0,793,REHAB/REPAIR,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","DHI-DFA GRIDLEY SPRINGS ASSOCIATES, LP",GRIDLEY SPRINGS APARTMENTS,210 FORD AVENUE,GRIDLEY,CA,932410000,2015-03-19T05:00:00Z,350000,4925847,6584,42971,12,18,668,708,REHAB/REPAIR,FAMILY
2021,CHURCHILL MORTGAGE INVESTMENT LLC,"DHM BLAIRSVILLE, LP",THE GARDENS,27 GARDENS WAY,BLAIRSVILLE,GA,305120000,2021-11-17T06:00:00Z,900000,12293343,13960,59200,10,38,593,694,NEW CONSTRUCTION,FAMILY
2013,"LUMENT REAL ESTATE CAPITAL, LLC",DICKINSON LINCOLN PARK APARTMENTS LLC,LINCOLN PARK TOWNHOMES,1199 LINCOLN ST.,DICKINSON,ND,586010000,2014-03-06T06:00:00Z,1535000,7284871,17787,41527,0,24,0,777,NEW CONSTRUCTION,FAMILY
2008,"BONNEVILLE MORTGAGE COMPANY, LLC","DINUBA PACIFIC ASSOC, A CA LP",EUCLID VILLAGE APTS,600 N. EUCLID AVE.,DINUBA,CA,936180000,2011-07-14T05:00:00Z,1500000,15212085,16844,33345,0,16,0,363,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","DIXON PACIFIC ASSOCIATES, A CA LP",VALLEY GLEN APARTMENTS,1830 GOLD STREET,DIXON,CA,956200000,2014-10-06T05:00:00Z,1600000,16738563,18351,69742,9,27,558,700,NEW CONSTRUCTION,OTHER
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","DONA ANA MULTI-FAMILY PARTNERSHIP 2015,",DONA ANA 6,940 N 4TH ST,ANTHONY,NM,880210000,2017-06-22T05:00:00Z,5075000,19044880,14106,37933,50,50,530,595,REHAB/REPAIR,FAMILY
2014,CHURCHILL MORTGAGE INVESTMENT LLC,"DONALSONVILLE HERITAGE MANOR, LP",HERITAGE MANOR APARTMENTS,500 RICHARD DRIVE,DONALSONVILLE,GA,398450000,2014-12-10T06:00:00Z,756000,2459637,2650,40700,8,8,490,510,REHAB/REPAIR,FAMILY
2021,MERCHANTS CAPITAL CORP.,"DONNER TRAIL HOUSING PARTNERS, L.P.",DONNER TRAIL MANOR,121 C STREET,WHEATLAND,CA,956920000,2021-11-30T06:00:00Z,2495000,13695926,3456,90700,40,4,1071,1150,REHAB/REPAIR,SENIOR
2019,BELLWETHER ENTERPRISE REAL ESTATE,DOUGLAS GREENE LIMITED PARTNERSHIP,DOUGLAS GREENE,3936 SNYDER ROAD,KODAK,TN,377640000,2020-07-10T05:00:00Z,2900000,13999986,14807,58500,0,16,0,570,NEW CONSTRUCTION,FAMILY
2007,CHURCHILL MORTGAGE INVESTMENT LLC,DOUGLAS PACIFIC ASSOCIATES,SUMMIT CREST APARTMENTS,921 MICA DRIVE,CARSON CITY,NV,897050000,2008-09-30T05:00:00Z,900000,5863452,4407,58162,0,8,0,771,NEW CONSTRUCTION,FAMILY
2018,BELLWETHER ENTERPRISE REAL ESTATE,"DOUGLASS VILLAGE APARTMENTS, LP",DOUGLASS VILLAGE APARTMENTS,6549 BROWN ST,DOUGLASVILLE,GA,301340000,2018-12-20T06:00:00Z,8000000,19575228,33252,69200,0,29,0,1062,REHAB/REPAIR,FAMILY
2007,"LUMENT REAL ESTATE CAPITAL, LLC",DOVE VALLEY SENIOR HOUSING LLLP,DOVE VALLEY SENIOR APARTMENTS,1101 S SANDPIPER LANE,MILLIKEN,CO,805430000,2007-10-18T05:00:00Z,715000,4460358,2880,43603,10,10,546,655,NEW CONSTRUCTION,SENIOR
2009,"BONNEVILLE MORTGAGE COMPANY, LLC","DOWNTOWN GALT PLACE ASSOCIATES, LP",GALT PLACE SENIOR APARTMENTS,400 D ST.,GALT,CA,956320000,2012-03-14T05:00:00Z,2875297,19643658,19472,43816,64,17,641,641,NEW CONSTRUCTION,SENIOR
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"DRUMRIGHT VILLAGE AND PLACE, LLC",DRUMRIGHT VILLAGE AND PLACE,700 E WALNUT ST,DRUMRIGHT,OK,740300000,2020-10-14T05:00:00Z,2231000,4726504,2826,34977,7,24,600,725,REHAB/REPAIR,FAMILY
2004,SYNOVUS BANK,DULLES PARK LP,DULLES PARK,220 OLD CLINTON RD,GRAY,GA,310320000,2004-07-30T05:00:00Z,1500000,5941510,1811,52600,16,46,383,464,NEW CONSTRUCTION,SENIOR
2017,GREYSTONE SERVICING COMPANY LLC,"DUNCAN TERRACE, LLC",DUNCAN VILLAGE,1820 WEST PLATO ROAD,DUNCAN,OK,735330000,2018-02-27T06:00:00Z,1663000,3814608,23431,59400,0,48,0,555,REHAB/REPAIR,FAMILY
2020,CHURCHILL MORTGAGE INVESTMENT LLC,"DV 100, LLC",DAVIS VILLAGE,100 GREER DRIVE,DAVIS,OK,730300000,2020-10-14T05:00:00Z,2257000,4240908,2738,65700,0,40,0,775,REHAB/REPAIR,FAMILY
2003,WEST VIRGINIA HOUSING DEVELOPMENT FUND,DYLAN HEIGHTS LIMITED PARTNERSHIP,DYLAN HEIGHTS APARTMENTS,210 DYLAN HEIGHTS DRIVE,SUMMERSVILLE,WV,266510000,2003-11-05T06:00:00Z,1475000,2664275,3294,38300,8,32,356,423,NEW CONSTRUCTION,FAMILY
2007,"BONNEVILLE MORTGAGE COMPANY, LLC","E.H. CREEKWOOD, L.P.",CREEKWOOD APARTMENTS,612 FOURTH STREET,LAKE CITY,TN,377690000,2008-08-07T05:00:00Z,403453,2834806,1888,14844,40,4,333,375,REHAB/REPAIR,SENIOR
2024,"BONNEVILLE MORTGAGE COMPANY, LLC",EARLIMART WESTWOOD MANOR LP,WESTWOOD MANOR,211 S ASH,EARLIMART,CA,932190000,2024-07-31T05:00:00Z,1150000,10737468,8908,43194,4,24,895,1025,REHAB/REPAIR,FAMILY
2008,"LUMENT REAL ESTATE CAPITAL, LLC",EAST BRADY PARTNERS,ALLEGHENY HILLS RETIREMENT RES,421 KELLY'S WAY,EAST BRADY,PA,160280000,2008-03-04T06:00:00Z,3470400,12210292,1038,26667,74,5,500,666,REHAB/REPAIR,SENIOR
2012,"BONNEVILLE MORTGAGE COMPANY, LLC",EAST HAVEN LIMITED PARTNERSHIP,EAST HAVEN APTS.,1768 WINCHESTER HWY.,FAYETTEVILLE,TN,373340000,2014-05-07T05:00:00Z,750000,5288554,6994,33434,8,16,370,450,NEW CONSTRUCTION,FAMILY
2020,CHURCHILL MORTGAGE INVESTMENT LLC,EAST LAKE FLORIDA 2 LLC,TRANQUILITY AT HOPE SCHOOL,1999 HOPE SCHOOL DRIVE,MARIANNA,FL,324480000,2020-08-07T05:00:00Z,1520000,6398472,7091,49100,0,0,0,0,NEW CONSTRUCTION,FAMILY
